member_id,first_name,last_name,grade,neighborhood,membership_status,join_date,checkout_id,book_id,checkout_date,return_date,title,author
1001,Salma,Ibrahim,8.0,Maadi,Active,2023-04-05,9025.0,525.0,2024-10-24,2024-11-07,Storms and Sailboats,Mahmoud Rafei
1002,Fares,Saleh,9.0,Maadi,Active,2025-01-22,9013.0,501.0,2024-02-16,2024-02-29,The Silver Kite,Amina Darwish
1002,Fares,Saleh,9.0,Maadi,Active,2025-01-22,9095.0,507.0,2024-06-25,2024-07-07,Fossils and Fireflies,Dalia Serry
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9051.0,513.0,2025-07-22,2025-08-18,Circuits for Beginners,Galal Mounir
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9068.0,501.0,2025-11-14,2025-12-03,The Silver Kite,Amina Darwish
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9074.0,501.0,2024-06-19,2024-07-06,The Silver Kite,Amina Darwish
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9071.0,503.0,2024-03-25,2024-04-09,The Lantern Maker,Adel Roushdy
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9103.0,513.0,2025-09-04,2025-09-25,Circuits for Beginners,Galal Mounir
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9050.0,521.0,2025-08-21,2025-01-11,A Garden of Equations,Karim Elwy
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9048.0,519.0,2024-12-03,2025-01-01,Kites Over Cairo,Jasmine Wahdan
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9088.0,519.0,2025-09-17,2025-10-03,Kites Over Cairo,Jasmine Wahdan
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9018.0,522.0,2025-06-12,2025-06-24,The Puzzle Merchant,Karim Elwy
1004,Fares,Wahba,7.0,Maadi,Inactive,2024-10-09,No Checkout,No Book,2025-07-11,2025-01-11,The Silver Kite,Amina Darwish
1005,Youssef,Halim,9.0,Maadi,Active,2024-05-05,9043.0,505.0,2024-01-26,2024-02-04,Letters to the Nile,Aya Hafez
